COUNTRY,DATE,VALUE
"Iran, Islamic Rep.",1974,"46,209,092,072.14"
Iraq,1974,"11,516,762,614.29"
Ireland,1974,"7,896,860,614.99"
Italy,1974,"199,564,489,431.38"
Jamaica,1974,"2,375,122,375.12"
Japan,1974,"490,035,789,970.30"
Jordan,1974,"1,197,483,948.69"
Kenya,1974,"2,969,958,812.02"
Kiribati,1974,"85,637,174.37"
"Korea, Rep.",1974,"19,543,973,941.37"
Kuwait,1974,"13,006,948,296.27"
Late-demographic dividend,1974,"685,078,858,340.87"
Lesotho,1974,"150,851,316.53"
Liechtenstein,1974,"193,980,464.88"
Low & middle income,1974,"1,165,896,855,458.00"
Lower middle income,1974,"300,323,775,420.46"
Luxembourg,1974,"3,183,637,116.82"
Madagascar,1974,"1,917,508,190.05"
Malaysia,1974,"9,496,204,301.75"
Mali,1974,"538,747,339.96"
Malta,1974,"376,094,108.48"
Mauritania,1974,"613,010,552.48"
Mexico,1974,"72,000,000,000.00"
Middle East & North Africa,1974,"203,802,641,734.35"
Middle East & North Africa (IDA & IBRD countries),1974,"101,944,860,557.69"
Middle East & North Africa (excluding high income),1974,"102,798,505,813.90"
Middle income,1974,"1,133,389,531,667.28"
Monaco,1974,"563,949,254.11"
Morocco,1974,"7,675,466,449.36"
Myanmar,1974,"1,225,589,878.07"
Nepal,1974,"1,217,953,546.98"
Netherlands,1974,"87,243,413,394.54"
New Caledonia,1974,"637,403,478.49"
New Zealand,1974,"13,940,981,798.12"
Niger,1974,"1,026,137,110.89"
Nigeria,1974,"24,846,641,318.12"
North America,1974,"1,706,504,788,139.06"
Norway,1974,"27,145,693,810.13"
OECD members,1974,"4,191,601,450,741.88"
Oman,1974,"1,645,917,776.49"
Other small states,1974,"12,039,013,476.71"
Pacific island small states,1974,"1,018,241,258.71"
Pakistan,1974,"8,899,191,919.19"
Panama,1974,"2,188,307,600.00"
Papua New Guinea,1974,"1,467,417,672.17"
Paraguay,1974,"1,333,475,396.83"
Philippines,1974,"15,607,882,555.29"
Portugal,1974,"17,512,391,475.93"
Post-demographic dividend,1974,"4,069,883,782,596.25"
Pre-demographic dividend,1974,"81,679,729,034.36"
Puerto Rico,1974,"7,684,800,000.00"
Qatar,1974,"2,401,403,227.44"
Rwanda,1974,"308,458,423.18"
Saudi Arabia,1974,"45,412,971,909.38"
Senegal,1974,"2,099,325,228.96"
Seychelles,1974,"43,134,496.16"
Sierra Leone,1974,"648,940,350.88"
Singapore,1974,"5,221,534,955.64"
Small states,1974,"20,196,388,658.89"
Solomon Islands,1974,"84,539,332.28"
Somalia,1974,"467,577,432.25"
South Africa,1974,"41,389,186,094.60"
South Asia,1974,"126,910,557,742.56"
South Asia (IDA & IBRD),1974,"126,910,557,742.56"
Spain,1974,"97,274,006,345.54"
Sri Lanka,1974,"3,574,586,466.17"
St. Kitts and Nevis,1974,"31,514,856.31"
St. Vincent and the Grenadines,1974,"32,923,702.73"
Sub-Saharan Africa,1974,"121,774,770,158.32"
Sub-Saharan Africa (IDA & IBRD countries),1974,"121,774,770,158.32"
Sub-Saharan Africa (excluding high income),1974,"121,738,430,155.45"
Sudan,1974,"3,961,206,896.55"
Suriname,1974,"409,850,000.00"
Sweden,1974,"66,013,338,964.72"
Syrian Arab Republic,1974,"4,244,669,785.05"
Thailand,1974,"13,702,998,512.45"
Togo,1974,"560,437,817.10"
Trinidad and Tobago,1974,"2,042,031,901.42"
Tunisia,1974,"3,545,868,575.15"
Turkiye,1974,"35,414,285,714.29"
Uganda,1974,"2,098,944,967.21"
United Kingdom,1974,"206,131,369,798.97"
United States,1974,"1,545,243,000,000.00"
Upper middle income,1974,"839,243,307,933.18"
Uruguay,1974,"4,091,438,979.96"
"Venezuela, RB",1974,"26,100,930,232.56"
World,1974,"5,333,766,305,343.47"
Zambia,1974,"2,913,063,763.61"
Zimbabwe,1974,"3,982,161,400.00"
